Element Code,System,Table,Element,System Type ,Level ,HIV,Program Area,Goal ,Potential Overlap (HIV),Goal1,Goal2,Goal3,Array
34,Register-ANC,ANC,Prev Ttv,Paper,Facility ,Y,PMTCT,6,?,6,,,[6]
35,Register-ANC,ANC,Surgical done before,Paper,Facility ,Y,PMTCT,6,?,6,,,[6]
36,Register-ANC,ANC,T/A,Paper,Facility ,Y,PMTCT,6,?,6,,,[6]
37,Register-ANC,ANC,Text,Paper,Facility ,Y,PMTCT,6,N,6,,,[6]
38,Register-ANC,ANC,Ttv,Paper,Facility ,Y,PMTCT,6,?,6,,,[6]
39,Register-ANC,ANC,Visit Type,Paper,Facility ,Y,PMTCT,6,N,6,,,[6]
40,Register-ANC,ANC,Weight,Paper,Facility ,Y,PMTCT,6,Y,6,,,[6]
41,BHT-EMR,BART,Ancestral Traditional Authority Area of residence,Electronic,Facility ,Y,DEMO,4,Y,4,,,[4]
42,BHT-EMR,BART,ART number at Previous Location,Electronic,Facility ,Y,DEMO,4,Y,4,,,[4]
43,BHT-EMR,BART,ART regimen,Electronic,Facility ,Y,ART,14,Y,1,4,,"[1,4]"
44,BHT-EMR,BART,ART related symptoms,Electronic,Facility ,Y,ART,4,,4,,,[4]
45,BHT-EMR,BART,CD4 /Lympocyte Count Location,Electronic,Facility ,Y,ART,4,N,4,,,[4]
46,BHT-EMR,BART,CD4 Count,Electronic,Facility ,Y,ART,4,Y,4,,,[4]
47,BHT-EMR,BART,CD4 Count date,Electronic,Facility ,Y,ART,4,N,4,,,[4]
48,BHT-EMR,BART,CD4 Count Location,Electronic,Facility ,Y,ART,4,N,4,,,[4]
49,BHT-EMR,BART,Cell Phone,Electronic,Facility ,Y,DEMO,4,Y,4,,,[4]
50,BHT-EMR,BART,Clinical Notes,Electronic,Facility ,Y,ART,4,N,4,,,[4]
51,BHT-EMR,BART,Closest Landmark,Electronic,Facility ,Y,DEMO,4,Y,4,,,[4]
52,BHT-EMR,BART,Confirmatory HIV Test year,Electronic,Facility ,Y,ART,4,Y,4,,,[4]
53,BHT-EMR,BART,Confirmatory test,Electronic,Facility ,Y,ART,4,Y,4,,,[4]
54,BHT-EMR,BART,Confirmatory test centre,Electronic,Facility ,Y,ART,4,Y,4,,,[4]
55,BHT-EMR,BART,Cotrimoxaxole dosage,Electronic,Facility ,Y,ART,4,?,4,,,[4]
56,BHT-EMR,BART,CPT prescription,Electronic,Facility ,Y,ART,4,?,4,,,[4]
57,BHT-EMR,BART,Current District,Electronic,Facility ,Y,DEMO,4,Y,4,,,[4]
58,BHT-EMR,BART,Current Region,Electronic,Facility ,Y,DEMO,4,Y,4,,,[4]
59,BHT-EMR,BART,Date ART started,Electronic,Facility ,Y,ART,4,Y,4,,,[4]
60,BHT-EMR,BART,Date of Birth,Electronic,Facility ,Y,DEMO,4,Y,4,,,[4]
61,BHT-EMR,BART,Date of CD4 Count,Electronic,Facility ,Y,ART,4,Y,4,,,[4]
62,BHT-EMR,BART,Day ART last taken,Electronic,Facility ,Y,ART,4,Y,4,,,[4]
63,BHT-EMR,BART,Dose strength,Electronic,Facility ,Y,ART,14,Y,1,4,,"[1,4]"
64,BHT-EMR,BART,Drug dispensation,Electronic,Facility ,Y,ART,14,Y,1,4,,"[1,4]"
65,BHT-EMR,BART,Duration,Electronic,Facility ,Y,ART,4,?,4,,,[4]
66,BHT-EMR,BART,First Name,Electronic,Facility ,Y,DEMO,4,Y,4,,,[4]
67,BHT-EMR,BART,Formulation,Electronic,Facility ,Y,ART,4,Y,4,,,[4]
68,BHT-EMR,BART,Frequency,Electronic,Facility ,Y,ART,4,Y,4,,,[4]
69,BHT-EMR,BART,Gender,Electronic,Facility ,Y,DEMO,4,Y,4,,,[4]
70,BHT-EMR,BART,Generic drug,Electronic,Facility ,Y,ART,14,Y,1,4,,"[1,4]"
71,BHT-EMR,BART,Ground Phone Number,Electronic,Facility ,Y,DEMO,4,Y,4,,,[4]
72,BHT-EMR,BART,Height,Electronic,Facility ,Y,DEMO,4,Y,4,,,[4]
73,BHT-EMR,BART,Home District,Electronic,Facility ,Y,DEMO,4,Y,4,,,[4]
74,BHT-EMR,BART,Home Village,Electronic,Facility ,Y,DEMO,4,Y,4,,,[4]
75,BHT-EMR,BART,Initial CD4 Count,Electronic,Facility ,Y,ART,4,Y,4,,,[4]
76,BHT-EMR,BART,Initial CD4 Percent,Electronic,Facility ,Y,ART,4,Y,4,,,[4]
77,BHT-EMR,BART,Initial height,Electronic,Facility ,Y,DEMO,4,Y,4,,,[4]
78,BHT-EMR,BART,Initial weight,Electronic,Facility ,Y,DEMO,4,Y,4,,,[4]
79,BHT-EMR,BART,Last ARVs drugs taken,Electronic,Facility ,Y,ART,4,Y,4,,,[4]
80,BHT-EMR,BART,Last Name,Electronic,Facility ,Y,DEMO,4,Y,4,,,[4]
81,BHT-EMR,BART,Location of ART Initiation,Electronic,Facility ,Y,ART,4,Y,4,,,[4]
82,BHT-EMR,BART,Location of confirmatory HIV test,Electronic,Facility ,Y,ART,4,Y,4,,,[4]
83,BHT-EMR,BART,Location/Village,Electronic,Facility ,Y,DEMO,4,Y,4,,,[4]
84,BHT-EMR,BART,Lymphocyte count date,Electronic,Facility ,Y,ART,4,Y,4,,,[4]
85,BHT-EMR,BART,Lymphocyte Count Results,Electronic,Facility ,Y,ART,4,Y,4,,,[4]
86,BHT-EMR,BART,Lymphocyte Count Results availability,Electronic,Facility ,Y,ART,4,Y,4,,,[4]
87,BHT-EMR,BART,Middle name,Electronic,Facility ,Y,DEMO,4,Y,4,,,[4]
88,BHT-EMR,BART,Month ART started,Electronic,Facility ,Y,ART,4,Y,4,,,[4]
89,BHT-EMR,BART,Month of Birth,Electronic,Facility ,Y,DEMO,4,Y,4,,,[4]
90,BHT-EMR,BART,Month of CD4 Count,Electronic,Facility ,Y,ART,4,Y,4,,,[4]
91,BHT-EMR,BART,Moth ART last taken,Electronic,Facility ,Y,ART,4,Y,4,,,[4]
92,BHT-EMR,BART,Need for follow up for HIV care,Electronic,Facility ,Y,ART,4,Y,4,,,[4]
93,BHT-EMR,BART,Need for HIV care follow up,Electronic,Facility ,Y,ART,4,Y,4,,,[4]
94,BHT-EMR,BART,Need to prescribe ARVs,Electronic,Facility ,Y,ART,4,Y,4,,,[4]
95,BHT-EMR,BART,Need to Prescribe drugs,Electronic,Facility ,Y,ART,4,Y,4,,,[4]
96,BHT-EMR,BART,Next visit date,Electronic,Facility ,Y,ART,4,N,4,,,[4]
97,BHT-EMR,BART,Number of condoms given,Electronic,Facility ,Y,ART,4,N,4,,,[4]
98,BHT-EMR,BART,Occupation,Electronic,Facility ,Y,DEMO,4,Y,4,,,[4]
99,BHT-EMR,BART,Patient Breast feedin,Electronic,Facility ,Y,ART,4,Y,4,,,[4]
100,BHT-EMR,BART,Patient Pregnant,Electronic,Facility ,Y,ART,4,Y,4,,,[4]
101,BHT-EMR,BART,Previous ART clinic Registration,Electronic,Facility ,Y,ART,4,Y,4,,,[4]
102,BHT-EMR,BART,Previous ART Treatment or not,Electronic,Facility ,Y,ART,4,Y,4,,,[4]
103,BHT-EMR,BART,PRN,Electronic,Facility ,Y,ART,4,?,4,,,[4]
104,BHT-EMR,BART,Quantity,Electronic,Facility ,Y,ART,14,Y,1,4,,"[1,4]"
105,BHT-EMR,BART,Reason for ART Eligibility,Electronic,Facility ,Y,ART,4,Y,4,,,[4]
106,BHT-EMR,BART,Recent CD4 Count results,Electronic,Facility ,Y,ART,4,Y,4,,,[4]
107,BHT-EMR,BART,Referal to clinician,Electronic,Facility ,Y,ART,4,Y,4,,,[4]
108,BHT-EMR,BART,Region of Origin,Electronic,Facility ,Y,DEMO,4,Y,4,,,[4]
109,BHT-EMR,BART,Stage information,Electronic,Facility ,Y,ART,4,Y,4,,,[4]
110,BHT-EMR,BART,Stages 1-2-3-4,Electronic,Facility ,Y,ART,4,Y,4,,,[4]
111,BHT-EMR,BART,Sulphur Alergy,Electronic,Facility ,Y,ART,4,Y,4,,,[4]
112,BHT-EMR,BART,TA/Area of residence,Electronic,Facility ,Y,DEMO,4,Y,4,,,[4]
113,BHT-EMR,BART,TB Associated Symptoms,Electronic,Facility ,Y,ART,4,Y,4,,,[4]
114,BHT-EMR,BART,TB status,Electronic,Facility ,Y,ART,4,Y,4,,,[4]
115,BHT-EMR,BART,Type of Confirmatory HIV test,Electronic,Facility ,Y,ART,4,Y,4,,,[4]
116,BHT-EMR,BART,Type of prescription Standard or variable,Electronic,Facility ,Y,ART,4,Y,4,,,[4]
117,BHT-EMR,BART,Type of relationship with patient,Electronic,Facility ,Y,DEMO,4,Y,4,,,[4]
118,BHT-EMR,BART,Usage of family planning methods,Electronic,Facility ,Y,ART,4,Y,4,,,[4]
119,BHT-EMR,BART,Weight,Electronic,Facility ,Y,ART,4,Y,4,,,[4]
120,BHT-EMR,BART,Year ART last taken,Electronic,Facility ,Y,ART,4,Y,4,,,[4]
121,BHT-EMR,BART,Year ART started,Electronic,Facility ,Y,ART,4,Y,4,,,[4]
122,BHT-EMR,BART,Year of Birth/age estimate,Electronic,Facility ,Y,DEMO,4,Y,4,,,[4]
123,BHT-EMR,BART,Year of CD4 count,Electronic,Facility ,Y,ART,4,Y,4,,,[4]
124,DHA-MIS,DHA,% of ANC women HIV+,Electronic,Central ,Y,PMTCT,346,Y,3,4,6,"[3,4,6]"
125,DHA-MIS,DHA,% of ANC women with HIV status ascertained,Electronic,Central ,Y,PMTCT,346,Y,3,4,6,"[3,4,6]"
126,DHA-MIS,DHA,% of HIV+ ANC women on ART,Electronic,Central ,Y,PMTCT,346,Y,3,4,6,"[3,4,6]"
127,DHA-MIS,DHA,(pre-) Eclampsia,Electronic,Central ,Y,PMTCT,46,Y,4,6,,"[4,6]"
128,DHA-MIS,DHA,1,,,,,,,N,,,[N]
129,DHA-MIS,DHA,10,,,,,,,N,,,[N]
130,DHA-MIS,DHA,11,,,,,,,N,,,[N]
131,DHA-MIS,DHA,12,,,,,,,N,,,[N]
132,DHA-MIS,DHA,12 month survival adults (non B+),Electronic,Central ,Y,ART,4,?,4,,,[4]
133,DHA-MIS,DHA,12 month survival all ages,Electronic,Central ,Y,ART,4,?,4,,,[4]
134,DHA-MIS,DHA,12 month survival children,Electronic,Central ,Y,ART,46,?,4,6,,"[4,6]"
135,DHA-MIS,DHA,15,,,,,,,N,,,[N]
136,DHA-MIS,DHA,16,,,,,,,N,,,[N]
137,DHA-MIS,DHA,17,,,,,,,N,,,[N]
138,DHA-MIS,DHA,18 month survival all ages,Electronic,Central ,Y,ART,4,?,4,,,[4]
139,DHA-MIS,DHA,1st follow-up visit,Electronic,Central ,Y,ART,4,?,4,,,[4]
140,DHA-MIS,DHA,1st month of quarter,Electronic,Central ,Y,ART,4,?,4,,,[4]
141,DHA-MIS,DHA,2,,,,,,,N,,,[N]
142,DHA-MIS,DHA,24 month survival all ages,Electronic,Central ,Y,ART,4,?,4,,,[4]
143,DHA-MIS,DHA,24 month survival children,Electronic,Central ,Y,ART,46,?,4,6,,"[4,6]"
144,DHA-MIS,DHA,24-72hrs,Electronic,Central ,Y,ART,4,?,4,,,[4]
145,DHA-MIS,DHA,2nd  follow-up visit,Electronic,Central ,Y,ART,4,?,4,,,[4]
146,DHA-MIS,DHA,2nd month of quarter,Electronic,Central ,Y,ART,4,?,4,,,[4]
147,DHA-MIS,DHA,3,,,,,,,N,,,[N]
148,DHA-MIS,DHA,"3 chairs, table, testing surface",Electronic,Central ,Y,OTHER,7,?,7,,,[7]
149,DHA-MIS,DHA,36 month survival all ages,Electronic,Central ,Y,ART,4,?,4,,,[4]
150,DHA-MIS,DHA,36 month survival children,Electronic,Central ,Y,ART,46,?,4,6,,"[4,6]"
151,DHA-MIS,DHA,36 month survival OptionB+,Electronic,Central ,Y,ART,46,?,4,6,,"[4,6]"
152,DHA-MIS,DHA,3rd month of quarter,Electronic,Central ,Y,ART,4,?,4,,,[4]
153,DHA-MIS,DHA,3TC,Electronic,Central ,Y,ART,4,?,4,,,[4]
154,DHA-MIS,DHA,4,,,,,,,N,,,[N]
155,DHA-MIS,DHA,48 month survival all ages,Electronic,Central ,Y,ART,4,?,4,,,[4]
156,DHA-MIS,DHA,48 month survival children,Electronic,Central ,Y,ART,46,?,4,6,,"[4,6]"
157,DHA-MIS,DHA,48 month survival OptionB+,Electronic,Central ,Y,ART,46,?,4,6,,"[4,6]"
158,DHA-MIS,DHA,5,,,,,,,N,,,[N]
159,DHA-MIS,DHA,5-9 days,Electronic,Central ,Y,ART,4,?,4,,,[4]
160,DHA-MIS,DHA,6,,,,,,,N,,,[N]
161,DHA-MIS,DHA,6 month survival all ages,Electronic,Central ,Y,ART,4,?,4,,,[4]
162,DHA-MIS,DHA,6 month survival children,Electronic,Central ,Y,ART,46,?,4,6,,"[4,6]"
163,DHA-MIS,DHA,60 month survival all ages,Electronic,Central ,Y,ART,4,?,4,,,[4]
164,DHA-MIS,DHA,60 month survival children,Electronic,Central ,Y,ART,4,?,4,,,[4]
165,DHA-MIS,DHA,7,,,,,,,N,,,[N]
166,DHA-MIS,DHA,72 month survival all ages,Electronic,Central ,Y,ART,4,?,4,,,[4]
167,DHA-MIS,DHA,72 month survival children,Electronic,Central ,Y,ART,46,?,4,6,,"[4,6]"
168,DHA-MIS,DHA,8,,,,,,,N,,,[N]
169,DHA-MIS,DHA,84 month survival all ages,Electronic,Central ,Y,ART,4,?,4,,,[4]
170,DHA-MIS,DHA,84 month survival children,Electronic,Central ,Y,ART,46,?,4,6,,"[4,6]"
171,DHA-MIS,DHA,9,,,,,,,N,,,[N]
172,DHA-MIS,DHA,96 month survival all ages,Electronic,Central ,Y,ART,4,?,4,,,[4]
173,DHA-MIS,DHA,96 month survival children,Electronic,Central ,Y,ART,46,?,4,6,,"[4,6]"
174,DHA-MIS,DHA,ABC,Electronic,Central ,Y,ART,146,Y,1,4,6,"[1,4,6]"
175,DHA-MIS,DHA,ABC / 3TC,Electronic,Central ,Y,ART,146,Y,1,4,6,"[1,4,6]"
176,DHA-MIS,DHA,Aciclovir,Electronic,Central ,Y,ART,146,Y,1,4,6,"[1,4,6]"
177,DHA-MIS,DHA,Adherence recorded,Electronic,Central ,Y,ART,4,N,4,,,[4]
178,DHA-MIS,DHA,Adherence unknown (not recorded),Electronic,Central ,Y,ART,4,N,4,,,[4]
179,DHA-MIS,DHA,Ad-hoc allocation from warehouse,Electronic,Central ,Y,ART,4,?,4,,,[4]
180,DHA-MIS,DHA,Admissions in the reporting period,Electronic,Central ,Y,ART,4,Y,4,,,[4]
181,DHA-MIS,DHA,Adult / paed formulation,Electronic,Central ,Y,ART,146,Y,1,4,6,"[1,4,6]"
182,DHA-MIS,DHA,Adult formulation,Electronic,Central ,Y,ART,146,Y,1,4,6,"[1,4,6]"
183,DHA-MIS,DHA,Adult formulation drug,Electronic,Central ,Y,ART,146,Y,1,4,6,"[1,4,6]"
184,DHA-MIS,DHA,Adult second line,Electronic,Central ,Y,ART,146,Y,1,4,6,"[1,4,6]"
185,DHA-MIS,DHA,Adults 15+ years,Electronic,Central ,Y,ART,4,Y,4,,,[4]
186,DHA-MIS,DHA,Adults 15+ yrs,Electronic,Central ,Y,ART,4,Y,4,,,[4]
187,DHA-MIS,DHA,AEHO Assitant Environmental Health Officer,Electronic,Central ,Y,OTHER,8,Y,8,,,[8]
188,DHA-MIS,DHA,After 72hrs,Electronic,Central ,Y,ART,4,?,4,,,[4]
189,DHA-MIS,DHA,After 9 days,Electronic,Central ,Y,ART,4,?,4,,,[4]
190,DHA-MIS,DHA,Age,Electronic,Central ,Y,DEMO,4,Y,4,,,[4]
191,DHA-MIS,DHA,Age 12 months,Electronic,Central ,Y,DEMO,4,?,4,,,[4]
192,DHA-MIS,DHA,Age 2 months,Electronic,Central ,Y,DEMO,4,?,4,,,[4]
193,DHA-MIS,DHA,Age 24 months,Electronic,Central ,Y,DEMO,4,?,4,,,[4]
194,DHA-MIS,DHA,Age at ART initiation,Electronic,Central ,Y,DEMO,4,?,4,,,[4]
195,DHA-MIS,DHA,Age at registration,Electronic,Central ,Y,DEMO,4,?,4,,,[4]
196,DHA-MIS,DHA,Age cohorts (birth month),Electronic,Central ,Y,DEMO,4,?,4,,,[4]
197,DHA-MIS,DHA,Age group,Electronic,Central ,Y,DEMO,4,?,4,,,[4]
198,DHA-MIS,DHA,Age group A (0-19 years),Electronic,Central ,Y,DEMO,4,?,4,,,[4]
199,DHA-MIS,DHA,Age group A (less than 1month),Electronic,Central ,Y,DEMO,4,?,4,,,[4]
200,DHA-MIS,DHA,Age group B (1month -14yrs),Electronic,Central ,Y,DEMO,4,?,4,,,[4]
201,DHA-MIS,DHA,Age group B (20-24 years),Electronic,Central ,Y,DEMO,4,?,4,,,[4]
202,DHA-MIS,DHA,Age group C ( 15-24yrs),Electronic,Central ,Y,DEMO,4,?,4,,,[4]
203,DHA-MIS,DHA,Age group C (25+ years),Electronic,Central ,Y,DEMO,4,?,4,,,[4]
204,DHA-MIS,DHA,Age group D ( 25yrs and over),Electronic,Central ,Y,DEMO,4,?,4,,,[4]
205,DHA-MIS,DHA,Albendazole,Electronic,Central ,Y,ART,14,Y,1,4,,"[1,4]"
206,DHA-MIS,DHA,Alive HIV exposed,Electronic,Central ,Y,PMTCT,6,Y,6,,,[6]
207,DHA-MIS,DHA,Alive HIV exposed AZT,Electronic,Central ,Y,PMTCT,6,Y,6,,,[6]
208,DHA-MIS,DHA,Alive HIV exposed no ARV,Electronic,Central ,Y,PMTCT,6,Y,6,,,[6]
209,DHA-MIS,DHA,Alive HIV exposed NVP,Electronic,Central ,Y,PMTCT,6,Y,6,,,[6]
210,DHA-MIS,DHA,Alive HIV exposed NVP+AZT,Electronic,Central ,Y,PMTCT,6,Y,6,,,[6]
211,DHA-MIS,DHA,Alive HIV exposure unknown,Electronic,Central ,Y,PMTCT,6,Y,6,,,[6]
212,DHA-MIS,DHA,Alive not HIV exposed,Electronic,Central ,Y,PMTCT,6,Y,6,,,[6]
213,DHA-MIS,DHA,All patients (checked data),Electronic,Central ,Y,ART,4,N,4,,,[4]
214,DHA-MIS,DHA,All patients (unchecked data),Electronic,Central ,Y,ART,4,N,4,,,[4]
215,DHA-MIS,DHA,Already on ART,Electronic,Central ,Y,ART,4,Y,4,,,[4]
216,DHA-MIS,DHA,Already on ART (TB prog),Electronic,Central ,Y,ART,4,Y,4,,,[4]
217,DHA-MIS,DHA,Alternative first line unspecified,Electronic,Central ,Y,ART,146,Y,1,4,6,"[1,4,6]"
218,DHA-MIS,DHA,Amitriptylline,Electronic,Central ,Y,ART,14,Y,1,4,,"[1,4]"
219,DHA-MIS,DHA,Amoxicillin / Clavulanic acid,Electronic,Central ,Y,ART,14,Y,1,4,,"[1,4]"
220,DHA-MIS,DHA,ANC,Electronic,Central ,N,SYSATTR,NA,Y,NA,,,[NA]
221,DHA-MIS,DHA,ANC / Mat services at this site,Electronic,Central ,Y,PMTCT,6,Y,6,,,[6]
222,DHA-MIS,DHA,ANC booking cohort  - 3rd month,Electronic,Central ,Y,PMTCT,6,?,6,,,[6]
223,DHA-MIS,DHA,ANC booking cohort - 1st month,Electronic,Central ,Y,PMTCT,6,?,6,,,[6]
224,DHA-MIS,DHA,ANC booking cohort - 2nd month,Electronic,Central ,Y,PMTCT,6,?,6,,,[6]
225,DHA-MIS,DHA,ANC clinic register,Electronic,Central ,Y,PMTCT,6,?,6,,,[6]
226,DHA-MIS,DHA,ANC cohort analysis,Electronic,Central ,Y,PMTCT,6,?,6,,,[6]
227,DHA-MIS,DHA,ANC cohort reports for all 3 months,Electronic,Central ,Y,PMTCT,6,?,6,,,[6]
228,DHA-MIS,DHA,ANC new registration - 1st month,Electronic,Central ,Y,PMTCT,6,?,6,,,[6]
229,DHA-MIS,DHA,ANC new registration - 2nd month,Electronic,Central ,Y,PMTCT,6,?,6,,,[6]
230,DHA-MIS,DHA,ANC new registration - 3rd month,Electronic,Central ,Y,PMTCT,6,?,6,,,[6]
231,DHA-MIS,DHA,ANC new registration report ver1,Electronic,Central ,Y,PMTCT,6,?,6,,,[6]
232,DHA-MIS,DHA,ANC Program,Electronic,Central ,Y,PMTCT,6,Y,6,,,[6]
233,DHA-MIS,DHA,ANC register correctly filled,Electronic,Central ,Y,PMTCT,6,N,6,,,[6]
234,DHA-MIS,DHA,ANC report check sums,Electronic,Central ,Y,PMTCT,6,N,6,,,[6]
235,DHA-MIS,DHA,ANC report ver4,Electronic,Central ,Y,PMTCT,6,?,6,,,[6]
236,DHA-MIS,DHA,ANC services report,Electronic,Central ,Y,PMTCT,6,?,6,,,[6]
237,DHA-MIS,DHA,ANC women after 6 months,Electronic,Central ,Y,PMTCT,6,Y,6,,,[6]
238,DHA-MIS,DHA,ANCNewRegArteli,Electronic,Central ,Y,PMTCT,6,?,6,,,[6]
239,DHA-MIS,DHA,ANCNewRegHiv,Electronic,Central ,Y,PMTCT,6,?,6,,,[6]
240,DHA-MIS,DHA,ANCNewRegTrim,Electronic,Central ,Y,PMTCT,6,?,6,,,[6]
241,DHA-MIS,DHA,ANCOutcArteli,Electronic,Central ,Y,PMTCT,6,?,6,,,[6]
242,DHA-MIS,DHA,ANCOutcCpt,Electronic,Central ,Y,PMTCT,6,?,6,,,[6]
243,DHA-MIS,DHA,ANCOutcEcl,Electronic,Central ,Y,PMTCT,6,?,6,,,[6]
244,DHA-MIS,DHA,ANCOutcFefo,Electronic,Central ,Y,PMTCT,6,?,6,,,[6]
245,DHA-MIS,DHA,ANCOutcHiv,Electronic,Central ,Y,PMTCT,6,?,6,,,[6]
246,DHA-MIS,DHA,ANCOutcPtBaby,Electronic,Central ,Y,PMTCT,6,?,6,,,[6]
247,DHA-MIS,DHA,ANCOutcPtMoth,Electronic,Central ,Y,PMTCT,6,?,6,,,[6]
248,DHA-MIS,DHA,ANCOutcSp,Electronic,Central ,Y,PMTCT,6,?,6,,,[6]
249,DHA-MIS,DHA,ANCOutcSyp,Electronic,Central ,Y,PMTCT,6,?,6,,,[6]
250,DHA-MIS,DHA,ANCOutcTrim,Electronic,Central ,Y,PMTCT,6,?,6,,,[6]
251,DHA-MIS,DHA,ANCOutcTtv,Electronic,Central ,Y,PMTCT,6,?,6,,,[6]
252,DHA-MIS,DHA,ANCOutcVis,Electronic,Central ,Y,PMTCT,6,?,6,,,[6]
253,DHA-MIS,DHA,Antenatal Care,Electronic,Central ,Y,PMTCT,6,?,6,,,[6]
254,DHA-MIS,DHA,Anti-malarials,Electronic,Central ,Y,MALARIA,,N,N,,,[N]
255,DHA-MIS,DHA,Antiseptic / decontamination solution available,Electronic,Central ,Y,OTHER,7,,7,,,[7]
256,DHA-MIS,DHA,Antiseptic solution made up according to SOP,Electronic,Central ,Y,OTHER,7,,7,,,[7]
257,DHA-MIS,DHA,Any AE,Electronic,Central ,Y,?,?,?,UNK,,,[UNK]
258,DHA-MIS,DHA,Any ANC women not tested last month,Electronic,Central ,Y,PMTCT,26,?,2,6,,"[2,6]"
259,DHA-MIS,DHA,Any ARVs,Electronic,Central ,Y,ART,4,?,4,,,[4]
260,DHA-MIS,DHA,Army,Electronic,Central ,N,SYSATTR,NA,Y,NA,,,[NA]
261,DHA-MIS,DHA,ART,Electronic,Central ,N,SYSATTR,NA,Y,NA,,,[NA]
262,DHA-MIS,DHA,ART - Cumul cohort report (reg details) complete,Electronic,Central ,Y,ART,48,N,4,8,,"[4,8]"
263,DHA-MIS,DHA,ART - Occupation recorded,Electronic,Central ,Y,ART,48,N,4,8,,"[4,8]"
264,DHA-MIS,DHA,"ART - Outcomes complete, updated, dates specified",Electronic,Central ,Y,ART,48,N,4,8,,"[4,8]"
265,DHA-MIS,DHA,ART - PMTCT recorded,Electronic,Central ,Y,ART,48,N,4,8,,"[4,8]"
266,DHA-MIS,DHA,ART - Registration continuous,Electronic,Central ,Y,ART,48,N,4,8,,"[4,8]"
267,DHA-MIS,DHA,ART - RegNo's correct for transfers in,Electronic,Central ,Y,ART,48,N,4,8,,"[4,8]"
268,DHA-MIS,DHA,ART - TB recorded,Electronic,Central ,Y,ART,48,N,4,8,,"[4,8]"
269,DHA-MIS,DHA,ART - Visit columns complete,Electronic,Central ,Y,ART,48,N,4,8,,"[4,8]"
270,DHA-MIS,DHA,ART (by time of initiation),Electronic,Central ,Y,ART,4,?,4,,,[4]
